,nom_directors,ID_directors,STARmeter_directors,recompenses_directors,carriere_duree_directors,films_series_directors
223,LaurentHerbiet,nm0004124,502557.0,0.0,32.0,12.0
224,LanceW.Dreesen,nm0004165,385137.0,0.0,0.0,3.0
225,Jean-PierreDuret,nm0004202,644883.0,1.0,38.0,6.0
226,AndreOvredal,nm0004217,12412.0,4.0,11.0,12.0
227,AlfonsoGomez-Rejon,nm0004234,30492.0,2.0,15.0,15.0
228,GavinHood,nm0004303,20224.0,1.0,30.0,21.0
229,GeorgeMiller,nm0004305,30218.0,2.0,50.0,19.0
230,RobertB.Weide,nm0004332,25301.0,1.0,35.0,11.0
231,RakeshRoshan,nm0004363,44194.0,0.0,22.0,7.0
232,AntoinedeCaunes,nm0004380,64610.0,0.0,32.0,40.0
233,MarkNeveldine,nm0004410,17110.0,0.0,25.0,13.0
234,DavidBlair,nm0004541,115656.0,0.0,31.0,23.0
235,PhilAldenRobinson,nm0004675,27151.0,0.0,36.0,10.0
236,FredericForestier,nm0004689,159050.0,0.0,31.0,18.0
237,DarrenAronofsky,nm0004716,750.0,3.0,34.0,25.0
238,ChrisCarter,nm0004810,17414.0,0.0,32.0,8.0
239,BrianHenson,nm0005008,19755.0,0.0,36.0,14.0
240,SpikeJonze,nm0005069,2998.0,6.0,28.0,28.0
241,HarmonyKorine,nm0005101,6437.0,0.0,31.0,40.0
242,JohnLasseter,nm0005124,13095.0,6.0,42.0,24.0
243,MikeLeigh,nm0005139,7471.0,7.0,52.0,27.0
244,SamMendes,nm0005222,4048.0,6.0,22.0,16.0
245,KimberlyPeirce,nm0005303,33037.0,0.0,21.0,17.0
246,GuyRitchie,nm0005363,307.0,0.0,29.0,24.0
247,JayRoach,nm0005366,13503.0,2.0,31.0,26.0
248,JoeRoth,nm0005387,42928.0,0.0,49.0,7.0
249,RonShelton,nm0005421,19417.0,0.0,35.0,14.0
250,JohnSingleton,nm0005436,8913.0,0.0,28.0,24.0
251,JonTurteltaub,nm0005509,14900.0,0.0,31.0,29.0
252,LiliFiniZanuck,nm0005572,64551.0,1.0,34.0,4.0
253,OliverSchmitz,nm0005628,156722.0,0.0,29.0,31.0
254,AndrzejBartkowiak,nm0005647,27598.0,0.0,44.0,10.0
255,Pierre-WilliamGlenn,nm0005723,244913.0,0.0,51.0,7.0
256,FredNicolas,nm0006407,1328687.0,0.0,0.0,0.0
257,EricRohmer,nm0006445,11664.0,7.0,60.0,57.0
258,PaulMcGuigan,nm0006476,20358.0,0.0,20.0,29.0
259,JimSheridan,nm0006487,13317.0,1.0,35.0,22.0
260,MajidMajidi,nm0006498,29093.0,0.0,36.0,14.0
261,RodrigoGarcia,nm0006554,28660.0,2.0,34.0,36.0
262,Jean-PierreMocky,nm0006620,47695.0,0.0,77.0,119.0
263,GerryLively,nm0006685,185489.0,0.0,32.0,8.0
264,AlainCorneau,nm0006734,41673.0,4.0,41.0,22.0
265,VidhuVinodChopra,nm0006765,13301.0,0.0,12.0,7.0
266,SallyPotter,nm0006845,29369.0,0.0,41.0,13.0
267,RicRomanWaugh,nm0006846,10669.0,0.0,37.0,14.0
268,RogerSpottiswoode,nm0006854,25875.0,1.0,50.0,27.0
269,JoseLuisLopez-Linares,nm0006856,254756.0,0.0,34.0,15.0
270,TonyGilroy,nm0006904,8875.0,0.0,29.0,5.0
271,RichardBerry,nm0006939,75510.0,1.0,49.0,110.0
272,PierreSchoendoerffer,nm0006954,182060.0,0.0,60.0,17.0
273,JohnMadden,nm0006960,16097.0,1.0,34.0,19.0
274,ElizabethBanks,nm0006969,37.0,2.0,25.0,88.0
275,NickQuinn,nm0007052,8150417.0,0.0,0.0,3.0
276,JohnStockwell,nm0007082,8828.0,0.0,34.0,33.0
277,NielsMueller,nm0007158,153212.0,0.0,14.0,3.0
278,YashChopra,nm0007181,31283.0,0.0,37.0,14.0
279,IlariaBorrelli,nm0007235,155309.0,0.0,22.0,5.0
280,DouglasAarniokoski,nm0007439,47836.0,0.0,31.0,21.0
281,SouAbadi,nm0007622,871818.0,0.0,0.0,0.0
282,HiamAbbass,nm0007814,5078.0,1.0,37.0,89.0
283,OlivierAbbou,nm0008080,169542.0,0.0,16.0,8.0
284,AktanArymKubat,nm0008332,335965.0,0.0,28.0,11.0
285,DominiqueAbel,nm0008442,77525.0,1.0,30.0,13.0
286,JudithAbitbol,nm0008773,745072.0,0.0,18.0,4.0
287,MarcAbraham,nm0008953,102885.0,0.0,31.0,3.0
288,AluizioAbranches,nm0009287,734470.0,0.0,12.0,4.0
290,HanyAbu-Assad,nm0009463,45414.0,2.0,20.0,17.0
