ID,Director,STARmeter
nm9698697,Vini Videla,1132760
nm2376614,Alexandre Bustillo,46479
nm0507425,Kevin Lewis,45678
nm0345615,Christian Gudegast,24908
nm2785069,Joe Dressel,6907743
nm0014960,Alexandre Aja,15708
nm4671079,Blake Harris,231035
nm3202804,Jordan Graham,227764
nm0510674,Kevin Lima,40786
nm0593618,Monika Mitchell,85098
nm1270033,David M. Rosenthal,60275
nm0003458,Steven R. Monroe,41971
nm0278181,Will Finn,130453
nm0950109,Terence Young,29254
nm1698571,Evan Goldberg,13230
nm2342722,Masaki Tachibana,451379
nm5029795,Jeymes Samuel,11220
nm0500343,Eric Leighton,162173
nm9026707,Shin'ichirô Ushijima,182005
nm0476663,Satoshi Kuwabara,608618
nm0000343,David Cronenberg,2084
nm0466153,Hirokazu Koreeda,4083
nm9270750,Min-Sang An,216064
nm0275277,Shana Feste,65217
nm0331998,Michael Gottlieb,74894
nm0272568,Norman Ferguson,193989
nm0001639,Alex Proyas,9748
nm0250625,Omiros Efstratiadis,340557
nm0187912,Harry Cripps,176981
nm0036331,Pascal Arnold,161706
nm1804518,Donovan Marsh,81304
nm1830380,Zoe Lister-Jones,3949
nm0703253,Boris Quercia,561049
nm0720411,Dale Resteghini,132547
nm0309456,Gigi Gaston,90141
nm2788015,Carlos López Estrada,21406
nm0477129,Ken Kwapis,26907
