Column1;ID;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;distrib_1;distrib_2;distrib_3;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;budget
7728;249707;The Angry Birds Movie 2;;;;;Thurop Van Orman;;;Peter Ackerman; Jonathon E. Stewart; Eyal Podell;Sony Pictures Releasing France;;;Animation; Comédie;;;;;;U.S.A.;16.0;10.0;2019.0;2.0;2.8;97.0;256867.0;
7729;249721;Iru Mugan;Vikram; Nayanthara Kurian; Nithya Menon; Thambi Ramayya;Anand Shankar;;;Anand Shankar;;;Aanna Films;;;Action; Science Fiction; Thriller;;;;;Inde;8.0;9.0;2016.0;3.0;3.3;140.0;3766.0;?850,000,000 (estimated)
7730;249734;1336 jours, des hauts, débats, mais debout;;;;;Claude Hirsch;;;;;;Les Films des Deux Rives;;;Documentaire;;;;;;;France;22.0;3.0;2017.0;2.0;3.3;73.0;307.0;
7731;249741;La Ragazza del Mondo;Sara Serraiocco; Michele Riondino; Marco Leonardi; Stefania Montorsi;Marco Danieli;;;Marco Danieli; Antonio Manca;;Bellissima Films;;;Drame; Romance;;;;;;Italie;19.0;4.0;2017.0;2.0;3.5;101.0;3128.0;
7732;249748;Park;Dimitris Kitsos; Dimitra Vlagopoulou; Enuki Gvenatadze; Thomas Bo Larsen;Sofia Exarchou;;;Sofia Exarchou;;;Tamasa Distribution;;;Drame;;;;;;;Grèce;8.0;7.0;2020.0;2.0;3.5;100.0;702.0;
7733;249766;Roman J. Israel, Esq.;Denzel Washington; Colin Farrell; Carmen Ejogo; Amanda Warren;Dan Gilroy;;;Dan Gilroy;;;Sony Pictures Releasing France;;;Drame; Judiciaire; Thriller;;;;;U.S.A.;14.0;3.0;2018.0;2.0;2.5;123.0;16920.0;22000000.0
7734;249775;Sameblod;Lene Cecilia Sparrok; Hanna Alström; Mia Erika Sparrok; Maj Doris Rimpi;Amanda Kernell;;;Amanda Kernell;;;Bodega Films;;;Drame;;;;;;;Suède;14.0;11.0;2018.0;2.0;3.3;113.0;8249.0;$442,416
7735;249783;I Am Not Your Negro;;;;;Raoul Peck;;;James Baldwin;;;Dulac Distribution;;;Documentaire;;;;;;;U.S.A.;10.0;5.0;2017.0;2.0;4.4;94.0;19347.0;
7736;249794;Den magiske juleæske;;;;;Jacob Ley;;;Jacob Ley; Sanne Munk Jensen; Laurence Crouzet;Les Films du Préau;;;Animation;;;;;;;Danemark;23.0;11.0;2016.0;2.0;3.3;80.0;4010.0;$856,607
7737;249801;São Jorge;Nuno Lopes; Mariana Nunes; David Semedo; José Raposo;Marco Martins;;;Marco Martins; Ricardo Adolfo;;Damned Distribution;;;Drame;;;;;;;Portugal;17.0;5.0;2017.0;2.0;3.4;112.0;2092.0;$256,281
7738;249804;Dawson City: Frozen Time;Bill Morrison (II);;;;Bill Morrison (II);;;Bill Morrison (II);;;Théâtre du Temple;;;Documentaire;;;;;;;U.S.A.;5.0;8.0;2020.0;2.0;4.0;120.0;748.0;$132,369
7739;249816;Last Flag Flying;Bryan Cranston; Laurence Fishburne; Steve Carell; J. Quinton Johnson;Richard Linklater;;;Richard Linklater; Darryl Ponicsan; Darryl Ponicsan;Metropolitan FilmExport;;;Comédie; Drame;;;;;;U.S.A.;17.0;1.0;2018.0;2.0;3.2;124.0;6111.0;
7740;249819;Kin;Myles Truitt; Jack Reynor; Zoë Kravitz; James Franco;Josh Baker; Jonathan Baker (XVII);;Daniel Casey; Jonathan Baker (XVII); Josh Baker;SND;;;Action; Science Fiction; Thriller;;;;;U.S.A.;29.0;8.0;2018.0;2.0;2.5;102.0;198034.0;
7741;249821;The Children Act;Emma Thompson; Stanley Tucci; Fionn Whitehead; Ben Chaplin;Richard Eyre;;;Ian McEwan; Ian McEwan;;ARP Sélection;;;Drame; Judiciaire;;;;;;Grande-Bretagne;1.0;8.0;2018.0;2.0;3.4;106.0;123492.0;$547,750
7742;249823;Everything, Everything;Amandla Stenberg; Nick Robinson; Ana de la Reguera; Anika Noni Rose;Stella Meghie;;;J. Mills Goodloe; Nicola Yoon;;Warner Bros. France;;;Drame; Romance;;;;;;U.S.A.;21.0;6.0;2017.0;2.0;2.0;96.0;129162.0;$10,000,000 (estimated)
7743;249860;C'est beau la vie quand on y pense;Gérard Jugnot; François Deblock; Isabelle Mergault; Gaia Weiss;Gérard Jugnot;;;Gérard Jugnot; Guy Laurent; Romain Protat;UGC Distribution;;;Comédie dramatique;;;;;;;France;12.0;4.0;2017.0;2.0;2.2;93.0;140490.0;$1,988,694
7744;249877;Kimi no na wa.;;;;;Makoto Shinkai;;;Makoto Shinkai; Makoto Shinkai;;Eurozoom;;;Animation; Fantastique;;;;;;Japon;28.0;12.0;2016.0;2.0;4.0;110.0;77345.0;
7745;249895;Pas comme des loups;;;;;Vincent Pouplard;;;;;;Vendredi Distribution;;;Documentaire;;;;;;;France;12.0;4.0;2017.0;2.0;3.6;59.0;633.0;
7746;249905;Hounds of Love;Emma Booth; Ashleigh Cummings; Stephen Curry; Susie Porter;Ben Young;;;Ben Young;;;UFO Distribution;;;Epouvante-horreur; Thriller;;;;;;Australie;12.0;7.0;2017.0;2.0;3.4;108.0;10410.0;
7747;249910;Zai Jian Wa Cheng;Kai Ko; Wu Ke-Xi; Wang Shin-Hong; Zhao De-Fu;Midi Z;;;Midi Z;;;Les Acacias;;;Drame;;;;;;;Birmanie;26.0;4.0;2017.0;2.0;3.5;108.0;5026.0;
7748;249923;La Juventus de Timgad;Sid Hamed Agoumi; Mounir Margoum; Myriem Akheddiou; Axel Bakouri;Fabrice Benchaouche;;;Aziz Chouaki; Fabrice Benchaouche;;Bodega Films;;;Comédie; Drame; Évènement Sportif;;;;;Algérie;21.0;12.0;2016.0;2.0;2.9;101.0;1649.0;
7749;249973;Loro;Toni Servillo; Elena Sofia Ricci; Riccardo Scamarcio; Kasia Smutniak;Paolo Sorrentino;;;Paolo Sorrentino; Umberto Contarello; Paolo Sorrentino;Pathé;;;Biopic; Drame;;;;;;Italie;31.0;10.0;2018.0;2.0;3.3;150.0;23741.0;$35,613
7750;250022;David Lynch: The Art Life;David Lynch;;;;Jon Nguyen; Rick Barnes (XVII); Olivia Neergaard-Holm;;;;Potemkine Films;;;Biopic; Documentaire;;;;;;U.S.A.;15.0;2.0;2017.0;2.0;3.4;88.0;9278.0;$171,419
7751;250073;Love, Simon;Nick Robinson; Katherine Langford; Jennifer Garner; Logan Miller;Greg Berlanti;;;Elizabeth Berger; Isaac Aptaker; Becky Albertalli;Twentieth Century Fox France;;;Comédie; Drame; Romance;;;;;U.S.A.;27.0;6.0;2018.0;2.0;3.2;109.0;93548.0;$17,000,000 (estimated)
7752;250080;Food Coop;;;;;Tom Boothe;;;;;;Lardux Films;;;Documentaire;;;;;;;U.S.A.;2.0;11.0;2016.0;2.0;3.3;97.0;6307.0;
