Column1;ID;Budget_dollards
403;29371; 68 000 000,0   
473;34961; 68 000 000,0   
566;41300; 68 000 000,0   
2878;139358; 68 000 000,0   
3118;143994; 68 000 000,0   
5188;209902; 68 000 000,0   
6642;232910; 68 000 000,0   
8702;263062; 68 000 000,0   
10073;287082; 68 000 000,0   
5526;218759; 68 000 000,0   
41;19184; 66 000 000,0   
660;45279; 66 000 000,0   
3548;176676; 66 000 000,0   
5101;207989; 66 000 000,0   
4938;204160; 66 000 000,0   
3606;177895; 65 880 000,0   
1828;112452; 65 125 001,0   
59;20502; 65 000 000,0   
95;26855; 65 000 000,0   
128;27432; 65 000 000,0   
387;29298; 65 000 000,0   
542;40141; 65 000 000,0   
577;41515; 65 000 000,0   
705;46864; 65 000 000,0   
928;53042; 65 000 000,0   
962;53750; 65 000 000,0   
1119;56899; 65 000 000,0   
1171;57529; 65 000 000,0   
1322;59320; 65 000 000,0   
1408;60710; 65 000 000,0   
1430;61087; 65 000 000,0   
1469;61505; 65 000 000,0   
1503;61772; 65 000 000,0   
2778;138019; 65 000 000,0   
3205;145721; 65 000 000,0   
3328;169922; 65 000 000,0   
3616;178074; 65 000 000,0   
3789;181097; 65 000 000,0   
4099;188021; 65 000 000,0   
4177;189654; 65 000 000,0   
5007;206180; 65 000 000,0   
5442;216918; 65 000 000,0   
5565;219903; 65 000 000,0   
5605;220796; 65 000 000,0   
9701;279245; 65 000 000,0   
700;46566; 65 000 000,0   
1140;57215; 65 000 000,0   
2281;129923; 65 000 000,0   
5532;218954; 65 000 000,0   
769;48229; 64 432 800,0   
6476;230689; 64 000 000,0   
1667;110189; 64 000 000,0   
3403;172500; 63 998 725,0   
101;26866; 63 000 000,0   
213;28555; 63 000 000,0   
177;28377; 62 000 000,0   
659;45273; 62 000 000,0   
882;51956; 62 000 000,0   
6605;232214; 62 000 000,0   
1512;77317; 61 000 000,0   
4161;189472; 61 000 000,0   
4248;190788; 61 000 000,0   
6527;231434; 61 000 000,0   
526;38983; 60 795 000,0   
33;18477; 60 000 000,0   
37;18671; 60 000 000,0   
122;27415; 60 000 000,0   
134;27440; 60 000 000,0   
135;27441; 60 000 000,0   
187;28430; 60 000 000,0   
264;28829; 60 000 000,0   
298;28954; 60 000 000,0   
327;29071; 60 000 000,0   
341;29140; 60 000 000,0   
384;29294; 60 000 000,0   
394;29322; 60 000 000,0   
512;36318; 60 000 000,0   
552;40882; 60 000 000,0   
553;40884; 60 000 000,0   
605;43188; 60 000 000,0   
616;43930; 60 000 000,0   
647;45033; 60 000 000,0   
649;45049; 60 000 000,0   
653;45135; 60 000 000,0   
677;45854; 60 000 000,0   
709;46941; 60 000 000,0   
711;47002; 60 000 000,0   
756;47977; 60 000 000,0   
792;48692; 60 000 000,0   
828;50148; 60 000 000,0   
862;51485; 60 000 000,0   
887;52289; 60 000 000,0   
899;52426; 60 000 000,0   
923;52912; 60 000 000,0   
982;53969; 60 000 000,0   
1053;55603; 60 000 000,0   
1182;57664; 60 000 000,0   
1426;60982; 60 000 000,0   
1440;61180; 60 000 000,0   
1516;83585; 60 000 000,0   
1590;109125; 60 000 000,0   
1672;110207; 60 000 000,0   
1757;111381; 60 000 000,0   
1764;111473; 60 000 000,0   
1845;114805; 60 000 000,0   
1877;118342; 60 000 000,0   
1938;121807; 60 000 000,0   
1942;122075; 60 000 000,0   
2046;125907; 60 000 000,0   
2074;126412; 60 000 000,0   
2208;128869; 60 000 000,0   
2238;129254; 60 000 000,0   
2270;129694; 60 000 000,0   
2333;130540; 60 000 000,0   
2573;134715; 60 000 000,0   
2703;136370; 60 000 000,0   
2772;137903; 60 000 000,0   
3146;144461; 60 000 000,0   
3256;146417; 60 000 000,0   
3313;148101; 60 000 000,0   
3494;174726; 60 000 000,0   
3532;176164; 60 000 000,0   
4030;186168; 60 000 000,0   
4415;193312; 60 000 000,0   
4495;194879; 60 000 000,0   
4751;199292; 60 000 000,0   
5753;222333; 60 000 000,0   
5786;222711; 60 000 000,0   
5938;224988; 60 000 000,0   
5993;225768; 60 000 000,0   
6705;234291; 60 000 000,0   
6973;238330; 60 000 000,0   
7561;247514; 60 000 000,0   
10219;290725; 60 000 000,0   
10604;302417; 60 000 000,0   
602;43118; 60 000 000,0   
885;52139; 60 000 000,0   
2435;132303; 60 000 000,0   
3365;171198; 60 000 000,0   
4015;185932; 60 000 000,0   
495;35784; 59 000 000,0   
2612;135374; 59 000 000,0   
5104;208041; 58 800 000,0   
178;28384; 58 000 000,0   
1364;59948; 58 000 000,0   
1910;119568; 58 000 000,0   
2830;138725; 58 000 000,0   
2933;140335; 58 000 000,0   
3245;146229; 58 000 000,0   
5006;206149; 58 000 000,0   
3252;146349; 58 000 000,0   
111;27046; 57 000 000,0   
132;27437; 57 000 000,0   
225;28627; 57 000 000,0   
3422;173074; 57 000 000,0   
776;48349; 56 600 000,0   
9648;278122; 56 489 153,0   
1036;55106; 56 000 000,0   
3617;178084; 56 000 000,0   
152;27777; 55 000 000,0   
248;28768; 55 000 000,0   
472;34960; 55 000 000,0   
599;42951; 55 000 000,0   
727;47319; 55 000 000,0   
785;48399; 55 000 000,0   
793;48749; 55 000 000,0   
938;53314; 55 000 000,0   
989;54098; 55 000 000,0   
1123;56996; 55 000 000,0   
1146;57349; 55 000 000,0   
1207;57877; 55 000 000,0   
1963;123253; 55 000 000,0   
1971;123392; 55 000 000,0   
2042;125886; 55 000 000,0   
2250;129371; 55 000 000,0   
2345;130769; 55 000 000,0   
3152;144607; 55 000 000,0   
3546;176634; 55 000 000,0   
3860;182873; 55 000 000,0   
4303;191696; 55 000 000,0   
5080;207487; 55 000 000,0   
5998;225870; 55 000 000,0   
210;28541; 55 000 000,0   
2098;126884; 55 000 000,0   
2831;138726; 55 000 000,0   
5418;216427; 55 000 000,0   
8402;258374; 55 000 000,0   
5053;206736; 54 999 779,0   
127;27431; 54 000 000,0   
231;28657; 54 000 000,0   
1283;58911; 54 000 000,0   
1497;61748; 54 000 000,0   
5267;212120; 53 425 036,0   
203;28519; 53 000 000,0   
413;31057; 53 000 000,0   
927;53031; 53 000 000,0   
3054;142528; 53 000 000,0   
501;35973; 52 000 000,0   
814;49350; 52 000 000,0   
1347;59720; 52 000 000,0   
1417;60803; 52 000 000,0   
2030;125562; 52 000 000,0   
2607;135259; 52 000 000,0   
3086;143276; 52 000 000,0   
3665;178909; 52 000 000,0   
7789;250664; 52 000 000,0   
3788;181081; 51 883 642,0   
1285;58944; 51 000 000,0   
2811;138478; 51 000 000,0   
3140;144404; 50 200 000,0   
3495;174738; 50 146 474,0   
43;19403; 50 000 000,0   
100;26863; 50 000 000,0   
151;27775; 50 000 000,0   
221;28603; 50 000 000,0   
237;28687; 50 000 000,0   
258;28798; 50 000 000,0   
300;28963; 50 000 000,0   
332;29087; 50 000 000,0   
348;29166; 50 000 000,0   
417;32253; 50 000 000,0   
541;40139; 50 000 000,0   
640;44792; 50 000 000,0   
642;44884; 50 000 000,0   
670;45644; 50 000 000,0   
790;48636; 50 000 000,0   
880;51895; 50 000 000,0   
900;52495; 50 000 000,0   
932;53109; 50 000 000,0   
951;53640; 50 000 000,0   
957;53718; 50 000 000,0   
961;53747; 50 000 000,0   
983;54015; 50 000 000,0   
990;54103; 50 000 000,0   
1028;54676; 50 000 000,0   
1032;54771; 50 000 000,0   
1041;55415; 50 000 000,0   
1113;56833; 50 000 000,0   
1117;56885; 50 000 000,0   
1195;57736; 50 000 000,0   
1275;58837; 50 000 000,0   
1286;58946; 50 000 000,0   
1312;59200; 50 000 000,0   
1353;59827; 50 000 000,0   
1404;60688; 50 000 000,0   
1438;61139; 50 000 000,0   
1449;61260; 50 000 000,0   
2155;128082; 50 000 000,0   
2206;128866; 50 000 000,0   
2568;134690; 50 000 000,0   
2606;135257; 50 000 000,0   
2914;140005; 50 000 000,0   
2962;140633; 50 000 000,0   
2979;140991; 50 000 000,0   
3203;145616; 50 000 000,0   
3271;146631; 50 000 000,0   
3366;171204; 50 000 000,0   
3387;172052; 50 000 000,0   
3726;180157; 50 000 000,0   
3735;180343; 50 000 000,0   
3830;182075; 50 000 000,0   
3910;183447; 50 000 000,0   
4115;188521; 50 000 000,0   
4603;196467; 50 000 000,0   
4740;198975; 50 000 000,0   
4917;203878; 50 000 000,0   
4934;204121; 50 000 000,0   
5263;211997; 50 000 000,0   
5397;215680; 50 000 000,0   
5747;222257; 50 000 000,0   
6120;227043; 50 000 000,0   
6815;235886; 50 000 000,0   
7321;244084; 50 000 000,0   
7839;251352; 50 000 000,0   
8050;254356; 50 000 000,0   
