,nom,ID,STARmeter,recompenses,carriere_duree,films_series
202,Dinesh,nm11482397,4519904.0,0.0,6.0,6.0
203,MillaJovovich,nm0000170,1011.0,0.0,35.0,58.0
204,JustinChambers(I),,,1.0,27.0,17.0
205,Vogel,,,0.0,0.0,0.0
206,NilsHugon,nm0401087,11771146.0,0.0,7.0,9.0
207,KojiYakusho,nm0945131,5167.0,1.0,44.0,47.0
208,LaetitiaCasta,nm0144377,12281.0,1.0,25.0,37.0
209,SeanPenn,nm0000576,1443.0,11.0,43.0,85.0
210,CyrilMourali,nm0969770,807801.0,0.0,12.0,7.0
211,AnnaFaris,nm0267506,1265.0,0.0,33.0,41.0
212,VinDiesel,nm0004874,565.0,0.0,33.0,44.0
213,BillPaxton,nm0000200,851.0,0.0,42.0,85.0
214,MatthewLillard,nm0000498,1135.0,0.0,33.0,79.0
215,WarrenBeatty,nm0000886,1595.0,4.0,55.0,30.0
216,MiraSorvino,nm0000227,1231.0,2.0,30.0,102.0
217,AmandaPlummer,nm0001625,2718.0,0.0,40.0,73.0
218,JohnCusack,nm0000131,920.0,0.0,37.0,97.0
219,ChrisRock,nm0001674,2743.0,0.0,39.0,67.0
220,SarahMarshall,nm2575941,365933.0,0.0,56.0,11.0
221,GwynethPaltrow,nm0000569,1858.0,3.0,32.0,61.0
222,Jean-PierreDarroussin,nm0201669,46802.0,4.0,44.0,120.0
223,AlPacino,nm0000199,430.0,13.0,55.0,84.0
224,SethRogen,nm0736622,788.0,0.0,24.0,69.0
225,RalphFiennes,nm0000146,534.0,4.0,32.0,85.0
226,DavidDuchovny,nm0000141,2125.0,1.0,36.0,55.0
227,ReeseWitherspoon,nm0000702,519.0,5.0,33.0,66.0
228,TobeyMaguire,nm0001497,2005.0,0.0,32.0,43.0
229,EddieMurphy,nm0000552,1188.0,7.0,41.0,61.0
230,IsabelleAdjani,nm0000254,3142.0,11.0,53.0,66.0
231,GeenaDavis,nm0000133,924.0,3.0,41.0,42.0
232,AlanCumming,nm0001086,260.0,0.0,31.0,87.0
233,EmmanuelleDevos,nm0222922,27322.0,4.0,38.0,98.0
234,JacquesGamblin,nm0303826,114151.0,2.0,39.0,74.0
235,PatrickAlbenque,nm0016375,220131.0,0.0,34.0,35.0
236,LucyRussell,nm0751301,13069.0,0.0,24.0,38.0
237,EricBerger,nm0074168,260539.0,0.0,31.0,50.0
238,SalmaHayek,nm0000161,721.0,0.0,33.0,84.0
239,KateHudson,nm0005028,1285.0,1.0,29.0,44.0
240,PierreZaoui,nm1344222,9369143.0,0.0,9.0,9.0
241,SusanSarandon,nm0000215,1027.0,3.0,53.0,139.0
242,PeterSchrum,,,0.0,20.0,4.0
244,MaggieSmith,nm0001749,660.0,13.0,66.0,70.0
245,LudovicBerthillot,nm0077987,250314.0,0.0,29.0,97.0
246,ReneeZellweger,nm0000250,625.0,8.0,31.0,47.0
247,MarilyneCanto,nm0134618,129123.0,1.0,45.0,100.0
248,VingRhames,nm0000609,1794.0,1.0,39.0,112.0
249,DwayneJohnson,nm0425005,216.0,0.0,26.0,85.0
250,MattCraven,nm0002023,7997.0,0.0,42.0,64.0
251,AdrianGrenier,nm0004978,4223.0,0.0,24.0,28.0
252,DianeLane,nm0000178,227.0,0.0,45.0,81.0
253,PaulWalker,nm0908094,1451.0,0.0,28.0,37.0
254,AshleyJudd,nm0000171,1132.0,0.0,28.0,53.0
255,DestinLenord,nm3346912,880679.0,0.0,0.0,3.0
256,GeneHackman,nm0000432,204.0,7.0,40.0,77.0
257,StephaneRideau,nm0725794,79696.0,0.0,27.0,42.0
258,UlrichTukur,nm0876300,43375.0,0.0,41.0,90.0
259,JodieFoster,nm0000149,21.0,10.0,55.0,74.0
260,GuyPearce,nm0001602,958.0,1.0,35.0,82.0
261,JulieAndrews,nm0000267,1622.0,5.0,64.0,37.0
262,LouDoillon,nm0230697,39104.0,2.0,31.0,29.0
263,BillyCrudup,nm0001082,822.0,1.0,25.0,48.0
