ID;actors_score;directors_score;scenaristes_score;distrib_score;Action;Animation;Aventure;Biopic;Comedie;Comedie dramatique;Comedie musicale;Drame;Epouvante-horreur;Famille;Fantastique;Guerre;Historique;Musical;Policier;Romance;Science Fiction;Thriller;Western;France;USA;Angleterre;Autres;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;Budget_dollards
293474;0,15230437600000;0,99914686400000;0,01754386000000;0,01443000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13.0;4.0;2022;2;3.7;99.0;1925;911
207178;0,78013639100000;2,13109541300000;1,25895356900000;0,02587000000000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.0;6.0;2013;2;1.3;90.0;106307;943
244978;0,47653802600000;1,15975075200000;0,23236975700000;0,02587000000000;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;29.0;3.0;2017;2;2.0;98.0;215260;954
215989;0,63895705300000;1,21089500800000;0,18360257100000;0,02334000000000;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;25.0;12.0;2013;2;2.6;90.0;5351;976
196227;0,00000000000000;0,79491065900000;1,00133171200000;0,01731000000000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.0;12.0;2012;2;3.0;59.0;4158;981
228498;0,10572081600000;1,23404631200000;0,26566255900000;0,02175000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;17.0;9.0;2014;2;4.0;94.0;1002;992
257254;0,41620440200000;1,38516256400000;0,42777656400000;0,02334000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17.0;7.0;2019;2;2.9;100.0;3364;1000
275681;0,39479584200000;1,19592625900000;0,21689537400000;0,01441000000000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3.0;10.0;2019;3;3.3;150.0;2605;1000
257779;0,75612952500000;1,00937253300000;0,01754386000000;0,02466000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;24.0;1.0;2018;2;2.8;95.0;6355;1000
262302;0,16329358600000;0,56773117400000;0,61678629700000;0,01439000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19.0;12.0;2018;2;3.3;66.0;5839;1000
264084;0,42615233700000;0,99235517500000;0,01169590600000;0,02412000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;26.0;12.0;2018;2;3.8;99.0;50910;1000
196047;0,31607116800000;0,50474802000000;0,24885646500000;0,01454000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;9.0;3.0;2016;2;1.7;74.0;50;1000
270566;0,00000000000000;1,24294857100000;0,27809623100000;0,01415000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7.0;10.0;2020;2;3.4;86.0;470;1018
265231;0,68683883900000;0,70462392500000;0,78768623900000;0,02516000000000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8.0;1.0;2020;2;2.3;109.0;6460;1029
274517;0,22692286200000;0,00000000000000;0,00000000000000;0,01452000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17.0;7.0;2019;2;3.1;77.0;824;1035
246774;0,26005625400000;1,00310302600000;0,04395397100000;0,02467000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.0;3.0;2017;2;3.2;105.0;7863;1035
189833;0,00000000000000;1,27624976200000;0,00000000000000;0,01464000000000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16.0;2.0;2011;2;3.0;40.0;5973;1046
204546;0,66052651100000;1,05786583100000;0,13050778800000;0,02668000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;24.0;7.0;2013;2;1.6;90.0;65250;1055
227842;0,59212094400000;1,80582929300000;0,88555307100000;0,01549000000000;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;8.0;3.0;2017;2;3.4;131.0;13825;1066
286984;0,00000000000000;0,52159206700000;0,00000000000000;0,00725000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;23.0;2.0;2022;2;4.2;62.0;713;1080
268823;0,23280820800000;1,07470828400000;0,21991367200000;0,01516000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10.0;7.0;2019;2;2.9;98.0;837;1080
252200;0,90101647500000;1,89536001700000;0,99051925600000;0,02372000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7.0;3.0;2018;2;2.6;100.0;87548;1080
253964;0,07848791900000;0,01515151500000;0,00000000000000;0,02324000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7.0;2.0;2018;2;3.0;90.0;27;1080
204616;0,41073350100000;1,06114939300000;0,11834867700000;0,00476000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.0;7.0;2017;2;3.2;96.0;812;1080
189924;0,29896502100000;1,05272407400000;0,10243350300000;0,01526000000000;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4.0;9.0;2013;2;3.0;94.0;2052;1081
276680;0,17204515900000;0,14039477300000;0,15389960000000;0,02583000000000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;23.0;6.0;2021;2;2.0;98.0;147706;1096
128295;0,35731919000000;1,38499110100000;0,42661108200000;0,01354000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20.0;2.0;2019;2;4.8;108.0;2273;1114
246659;0,11955438500000;1,25569357300000;0,28244624100000;0,02552000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23.0;11.0;2016;2;3.6;118.0;9303;1126
211663;0,01215976700000;0,83296326100000;0,00000000000000;0,01422000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10.0;10.0;2012;2;3.3;96.0;4977;1136
206312;0,07143207100000;0,99663311800000;0,04139887700000;0,02466000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17.0;4.0;2013;2;3.6;90.0;47;1138
