ID;annee;titre;premiere_semaine;budget
14468;2014;The Salvation;53487;10500000
18296;2018;2001 : A Space Odyssey (50th Anniversary);11368;10500000
10201;2009;Et après;161400;11361600
14077;2014;Les Yeux jaunes des crocodiles;232112;11393349,84
1527;2003;24 heures de la vie d'une femme;110920;11404800
91;2007;Love (et ses petits désastres);77338;11415600
11832;2011;La Croisière;250724;11416454,28
12842;2012;Mais, qui a re-tué Pamela Rose?;158077;11446592,76
1563;2003;Darkness;103229;10600000
2540;2000;Esther Kahn;48717;11448000
12740;2012;Bowling;167913;11448000
709;2005;Les Poupées russes;662329;11523600
14154;2014;Tu veux ou tu veux pas;431620;11524141,08
15590;2015;Le Grand partage;474661;11551155,12
2398;2000;Taxi 2;3478850;11556000
13025;2012;L'Homme qui rit;143987;11592485,64
11717;2010;Vénus noire;101704;11627722,8
19871;2020;Cuban Network;89408;11628401,04
14768;2014;Le Père Noël;177913;11635977,24
20121;2020;De Gaulle;511913;11645697,24
15613;2016;Joséphine s'arrondit;390145;11662422,12
9964;2008;Saw V;312943;10800000
77;2007;Le Scaphandre et le papillon;101785;11664000
12647;2012;Les Vacances de Ducobu;532593;11669919,48
404;2006;Cœurs;223082;11718000
10271;2009;Le Code a changé;762912;11726743,68
13623;2013;Les Reines du ring;150739;11779282,44
14774;2014;Mr. Turner;106655;11787072,48
15284;2015;Il Racconto dei Racconti (The Tale of Tales);68182;11787789,6
423;2006;Un ticket pour l'espace;236928;11795211,36
12858;2012;360;27743;11797398,36
17381;2017;Carbone;334791;11799064,8
18759;2019;Edmond;247500;11815200
11902;2011;Les Tuche;354177;11818692,72
14660;2014;La Famille Bélier;972689;11838962,16
165;2007;Un secret;458730;11850350,76
1422;2003;18 ans après;567231;11858400
2214;2001;Dayereh (The Circle);49199;100000
17216;2017;A Ghost Story;17230;100000
211;2007;American Gangster;485455;100000000
212;2007;Fred Claus;6246;100000000
333;2006;Eragon;792503;100000000
347;2006;Happy Feet;375210;100000000
352;2006;The Blood Diamond;419722;100000000
713;2005;Fantastic Four;952331;100000000
737;2005;Constantine;555362;100000000
780;2005;Fun with Dick and Jane;273884;100000000
821;2005;Stealth;185384;100000000
1076;2004;National Treasure;558487;100000000
1106;2004;Catwoman;334500;100000000
1177;2004;Hidalgo;136617;100000000
1424;2003;Peter Pan;341151;100000000
1742;2002;Harry Potter and the Chamber of Secrets;2728766;100000000
1835;2002;Windtalkers;221836;100000000
1952;2002;The Adventures of Pluto Nash;42890;100000000
2085;2001;Planet of the Apes;1728196;100000000
2104;2001;A.I. : Artificial Intelligence;766701;100000000
2424;2000;The Emperor's New Groove;329103;100000000
10016;2009;Dragonball Evolution;176764;100000000
10270;2009;Watchmen;377235;100000000
10392;2009;The Taking of Pelham 123;339891;100000000
10415;2009;Land of the Lost;14456;100000000
10635;2010;Green Zone;345040;100000000
10880;2009;Cloudy With a Chance of Meatballs;203296;100000000
11113;2010;Sex and the City 2;584359;100000000
11139;2010;Little Fockers;471220;100000000
11248;2010;The Other Guys;319447;100000000
11442;2010;Unstoppable (2010);349758;100000000
11501;2010;The Tourist;316258;100000000
12529;2012;Django Unchained;1128810;100000000
12530;2012;The Expendables 2;935219;100000000
13068;2013;Epic;413571;100000000
13134;2014;Robocop (2014);348763;100000000
13228;2013;The Wolf of Wall Street;1013324;100000000
13582;2013;Gravity;1493000;100000000
13738;2014;Transcendence;411082;100000000
13760;2014;Pompeii;338692;100000000
13800;2014;Hercules (2014);447389;100000000
14771;2015;In the Heart of the Sea;138532;100000000
15822;2016;Ben-Hur (2016);185275;100000000
16410;2017;Power Rangers (2017);262004;100000000
17554;2018;Venom (2018);941871;100000000
17610;2018;A Wrinkle In Time;198760;100000000
17775;2018;Mortal Engines;258165;100000000
18123;2018;Robin Hood (2018);197360;100000000
18695;2019;Spies In Disguise;442565;100000000
18753;2019;Shazam!;442839;100000000
18974;2019;Missing Link;39446;100000000
19477;2023;John Wick: Chapter 4;411048;100000000
19505;2019;Midway (2019);238069;100000000
19692;2021;The King's Man;336793;100000000
20742;2021;West Side Story (2021);177526;100000000
21053;2021;The Last Duel;147221;100000000
21574;2023;Spider-Man: Across the Spider-Verse;550808;100000000
21754;2023;The Super Mario Bros. Movie;1866914;100000000
21802;2023;Oppenheimer;1138907;100000000
22221;2023;The Hunger Games: The Ballad of Songbirds and Snakes;613191;100000000
22588;2023;Expend4bles;154647;100000000
23327;2023;The Color Purple (2023);49322;100000000
1749;2002;Minority Report;1100206;102000000
2400;2000;Gladiator;117869;103000000
12971;2013;The Hangover Part III;944983;103000000
13666;2014;Rio 2;668971;103000000
15821;2017;Kingsman: The Golden Circle;641173;104000000
22583;2023;Blue Beetle;239733;104000000
20;2008;10,000 B.C.;474853;105000000
1112;2004;The Chronicles of Riddick;334301;105000000
2119;2001;Ali;505352;105000000
2288;2001;Town and Country;32276;105000000
10357;2009;The Princess and the Frog;876083;105000000
15432;2016;Ice Age: Collision Course;1232859;105000000
15574;2015;Point Break (2015);262725;105000000
14931;2015;The Martian;1101028;108000000
1617;2003;The Cat in The Hat;44812;109000000
2078;2001;The Lord of the Rings: The Fellowship of the Ring;1978162;109000000
11605;2003;The Lord of the Rings: The Fellowship of the Ring (Extented Edition);46994;109000000
153;2007;I Think I Love My Wife;1233;11000000
491;2006;Gwoemul (The Host);93357;11000000
872;2005;Don't Come Knocking;61255;11000000
1241;2004;Kinsey;57718;11000000
1591;2003;Darkness Falls;52886;11000000
1899;2002;Frailty;70722;11000000
1981;2002;Heaven;9356;11000000
1982;2002;Max;10648;11000000
1992;2002;The Powerpuff Girls Movie;9196;11000000
2291;2001;Out Cold;24860;11000000
2659;2000;The Ladies Man;2383;11000000
10411;2008;The Secret Life of Bees;4929;11000000
10455;2009;The Hurt Locker;87533;11000000
10821;2009;Antichrist;63719;11000000
10915;2009;Saw VI;266042;11000000
11128;2010;Chloe;64037;11000000
11182;2010;My Name is Khan;16556;11000000
11525;2003;Alien (The Director's Cut);48427;11000000
12804;2012;LOL (Laughing Out Loud) - US;41163;11000000
14445;2014;If I Stay;54967;11000000
15144;2015;Woman in Gold;101006;11000000
15182;2015;Ex Machina;29883;11000000
17181;2017;Wind River;105709;11000000
17750;2018;I, Tonya;71074;11000000
19435;2019;Gisaengchung (Parasite);376842;11000000
11405;2010;L'Illusioniste (2010);87969;11880000
800;2005;Le Parfum de la dame en noir;186568;11881096,2
11920;2011;Incendies;40545;11881096,2
13740;2013;La Marche;120139;11881096,2
13842;2014;Jacky au royaume des filles;78636;11881096,2
12646;2012;Le Prénom;1086313;11911963,68
763;2005;Saint Jacques… La Mecque;238859;11912400
883;2005;The Last Sign;98674;11061272
15062;2015;Robin des bois, la véritable histoire;240213;11956975,92
17667;2017;La Mort de Staline;61495;11988000
17307;2017;Le Redoutable;72473;12001347,72
11499;2010;Un balcon sur la mer;287247;12002299,2
203;2008;MR-73;448334;12021410,88
10885;2009;Les Herbes folles;190223;12042000
755;2005;Anthony Zimmer;280435;12050002,8
1477;2003;Pas sur la bouche;210091;12096000
12259;2011;Mon pire cauchemar;377935;12096000
21593;2022;Goliath;267284;12096000
11624;2010;Potiche;875112;12113589,96
11311;2010;Donnant, Donnant;225847;12118659,48
21549;2022;Rumba la vie;151081;12139200
15399;2015;Belles familles;227314;12145560,12
775;2005;Les Parrains;302225;12150880,2
17892;2018;Dans la brume;123997;12171600
17930;2018;Croc-Blanc (2018);163155;12183253,2
16051;2016;Cézanne et moi;224092;12187845,36
10476;2008;Whatever Lola Wants;38515;12198612,96
363;2006;Mon meilleur ami;230325;12204000
12689;2012;L'Oncle Charles;183648;12227599,08
16614;2017;Mes trésors;99200;12237043,68
20113;2020;#Jesuislà;112363;12288520,8
20684;2020;Mon Cousin;205217;12338140,32
1765;2002;Embrassez qui vous voudrez;480951;12344400
738;2005;Boudu;501196;12366000
1846;2002;Le Frère du guerrier;204270;12366000
12362;2011;Un heureux événement;190939;12387600
22100;2022;Irréductible;390327;12398400
12910;2012;Cendrillon au Far West;14345;12407225,76
17956;2018;L'Extraordinaire voyage du Fakir;80690;12409200
15615;2016;Dirty Grandpa;126264;11500000
16009;2016;Radin!;1002709;12438179,64
16380;2016;La Folle Histoire de Max et Léon;102223;12445362,72
14206;2014;Le Dernier Diamant;85545;12493640,88
33;2007;Molière;341820;12508200,36
22693;2023;Moomios (Mummies);168937;11600000
366;2006;The Queen;308469;12528000
22168;2022;Menteur (2022);242165;12528000
