ID,director,STARmeter
nm0175916,PaddyConsidine,3242
nm0175931,AnneConsigny,30389
nm0176905,BarryCook,117275
nm0176929,BrianW.Cook,132724
nm0177015,DonovanCook,176828
nm0178376,ScottCooper,8888
nm0178530,RichardCopans,657113
nm0178886,GiaCoppola,15421
nm0178910,RomanCoppola,17866
nm0178997,FrankCoraci,17578
nm0179221,AntonCorbijn,23311
nm0179373,JavierCorcuera,643460
nm0179542,SebastianCordero,96653
nm0179576,AntonyCordier,239514
nm0179697,EricsonCore,48715
nm0179856,YannCoridian,10032679
nm0180404,ClovisCornillac,51567
nm0180428,JoeCornish,21062
nm0180444,AlanCorno,745201
nm0180462,JeromeCornuau,218181
nm0181117,CatherineCorsini,80883
nm0181579,RodrigoCortes,25557
nm0181991,PhilippeCosson,7226196
nm0182275,PedroCosta,738479
nm0182450,LeonardoDiCostanzo,347912
nm0182459,SaverioCostanzo,34388
nm0182669,FlaviaCoste,3377962
nm0182815,JuanManuelCotelo,376683
nm0182891,IvanCotroneo,478203
nm0183419,DelphineCoulin,216000
nm0183421,MurielCoulin,349611
nm0183686,EmmanuelCourcol,261506
nm0183837,LaurentCourtiaud,2068345
nm0184137,OlivierCoussemacq,1727063
nm0184362,GustavoCova,815136
nm0185187,PaulCox,138457
nm0185848,EliCraig,27490
nm0187740,EmanueleCrialese,89619
nm0188165,MichaelCristofer,16688
nm0188722,BrandonCronenberg,9458
nm0188899,HaroldCrooks,900650
nm0189749,JohnCrowley,263284
nm0189929,PolCruchten,337722
nm0190502,AngelesCruz,195941
nm0190859,AlfonsoCuaron,3611
nm0190860,CarlosCuaron,114182
nm0190861,JonasCuaron,52905
nm0190866,EmmanuelleCuau,746162
nm0190988,NicolasCuche,388308
nm0191109,JoseLuisCuerda,98440
nm0191147,MichaelCuesta,18980
nm0191712,R.J.Cutler,79790
nm0192289,DavidL.Cunningham,105829
nm0192478,KatCoiro,29459
nm0192544,ChristopheCupelin,2057167
nm0192845,JohnCurran,43183
nm0192933,AndrewCurrie,87435
nm0193327,EdwardS.Curtis,604998
nm0193485,RichardCurtis,6627
nm0193508,SimonCurtis,23045
nm0196134,JoaoRuiGuerradaMata,695382
nm0196248,HugoVieiradaSilva,527459
nm0196860,OlivierDahan,74659
nm0197240,LeonDai,200516
nm0197636,StephenDaldry,18195
