ID_film;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;scen_4;score_disctrib;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;budegt_dollars;premiere_semaine_france
140498;UnPoisonViolent;ClaraAugarde;Lio;MichelGalabru;StefanoCassetti;KatellQuillevere;;;KatellQuillevere;MarietteDesert;;;0,02281;Drame;;;;;;;France;4;8;2010;2;3,5;92;2160000;32846
140501;Unesemainesurdeux(etlamoitiedesvacancesscolaires);MathildeSeigner;BernardCampan;BertilleChabert;GregoriDerangere;IvanCalberac;;;IvanCalberac;;;;0,02295;Comedie; Romance;;;;;;France;22;7;2009;2;2,4;98;6654772,08;196897
140528;Patrik,1.5;GustafSkarsgard;TorkelPetersson;ThomasLjungman;AnnikaHallin;EllaLemhagen;;;EllaLemhagen;MichaelDruker;;;0,00904;Comedie;;;;;;;Autre;7;10;2009;2;2,6;103;57468;6032
140552;TheDanishGirl;EddieRedmayne;AliciaVikander;BenWhishaw;AmberHeard;TomHooper;;;LucindaCoxon;DavidEbershoff;;;0,02973;Biopic; Drame;;;;;;USA;20;1;2016;2;2,7;119;15000000;118481
140586;TheKillerInsideMe;CaseyAffleck;JessicaAlba;KateHudson;NedBeatty;MichaelWinterbottom;;;JohnCurran;JimThompson;;;0,02658;Drame; Thriller;;;;;;USA;11;8;2010;2;3,1;120;13000000;62584
140592;Baaria-LaPortadelVento;FrancescoScianna;MargarethMade;NicoleGrimaudo;AngelaMolina;GiuseppeTornatore;;;GiuseppeTornatore;;;;0,00874;Comedie dramatique;;;;;;;Autre;16;6;2010;2;1,8;150;28000000;15806
140603;TheKarateKid;JadenSmith;JackieChan;TarajiP.Henson;TessLiu;HaraldZwart;;;ChristopherMurphey;RobertMarkKamen;;;0,02583;Action; Drame; Famille; Arts Martiaux;;;;USA;18;8;2010;2;3,1;140;40000000;537271
140614;Bazar;BernadetteLafont;LouDoillon;PioMarmai;AlexandraStewart;PatriciaPlattner;;;PatriciaPlattner;AudePy;BlandineStintzy;;0,01481;Comedie dramatique;;;;;;;France;2;12;2009;2;1,7;103;;2110
140620;NannyMcPheeandTheBigBang;EmmaThompson;MaggieGyllenhaal;RhysIfans;RalphFiennes;SusannaWhite;;;EmmaThompson;ChristiannaBrand;;;0,02587;Comedie; Fantastique;;;;;;France;31;3;2010;2;2,5;109;35000000;191170
140623;DespicableMe;;;;;ChrisRenaud;PierreCoffin;;CincoPaul;KenDaurio;CarterGoodrich;;0,02973;Animation;;;;;;;USA;6;10;2010;2;3,4;95;69000000;620662
140631;WorldWarZ;BradPitt;MireilleEnos;ElyesGabel;JamesBadgeDale;MarcForster;;;MatthewMichaelCarnahan;J.MichaelStraczynski;DrewGoddard;;0,02429;Action; Fantastique; Science Fiction;;;;;USA;3;7;2013;2;2,9;116;190000000;1209900
140633;Hereafter;MattDamon;CeciledeFrance;ThierryNeuvic;GeorgeMcLaren;ClintEastwood;;;PeterMorgan;;;;0,0334;Drame; Fantastique; Thriller;;;;;USA;19;1;2011;2;2,7;128;50000000;776428
140647;Shuga;AlnurTurgambayeva;AidosSagatov;AinurSapargali;JassoulanAssaouov;DarezhanOmirbayev;;;;;;;0,00477;Drame;;;;;;;Autre;15;9;2010;2;3,4;88;;187
140670;N'djamenaCity;YoussoufDjaoro;FelkissamMahamat;BillyJosephine;AdamaRaham;IssaSergeCoelo;;;IssaSergeCoelo;AndreDionlar;IssaSergeCoelo;;0,01356;Drame;;;;;;;France;24;12;2008;2;3;90;;166
140674;DanceFlick;ShoshanaBush;DamonWayansJr.;EssenceAtkins;AffionCrockett;DamienDanteWayans;;;KeenenIvoryWayans;ShawnWayans;MarlonWayans;;0,02429;Comedie;;;;;;;USA;28;10;2009;2;1,3;83;25000000;5084
140675;HappyFeetTwo;;;;;GeorgeMiller;DavidPeers;GaryEck;GeorgeMiller;GaryEck;WarrenColeman;;0,0334;Animation; Comedie; Famille;;;;;Autre;7;12;2011;2;2,9;99;135000000;168873
140763;Atraverslapoussiere;AdilAbdolrahman;HosseinHasan;AbaRash;AyamAkram;ShawkatAminKorki;;;ShawkatAminKorki;;;;0,00398;Drame;;;;;;;France;15;4;2009;2;3,3;76;;288
140859;Mensch;NicolasCazale;SaraMartins;AnthonyDelon;SamiFrey;SteveSuissa;;;SteveSuissa;StephaneCabel;;;0,02552;Policier; Drame;;;;;;France;9;12;2009;2;2,6;87;;41253
140868;UnNuagedansunverred'eau;AnamariaMarinca;GamilRatib;TewfikJallab;AntoniHadziJanev;SrinathChristopherSamarasinghe;;;SrinathChristopherSamarasinghe;;;;0,00815;Fantastique; Thriller;;;;;;France;14;8;2013;2;2,9;90;;1360
140881;UndertheSea;;;;;HowardHall;;;HowardHall;ToniMyers;GraemeFerguson;;0,00768;Documentaire;;;;;;;USA;10;4;2013;2;3,6;40;;3058
140884;$9.99;BrianMeagan;;;;TatiaRosenthal;;;TatiaRosenthal;EtgarKeret;EtgarKeret;;0,02134;Animation;;;;;;;Autre;29;4;2009;2;3,7;78;52384;32804
140887;TheChildren;EvaBirthistle;StephenCampbell-Moore;JeremySheffield;RachelShelley;TomShankland;;;TomShankland;PaulAndrewWilliams;;;0,0123;Epouvante-horreur; Thriller;;;;;;Autre;21;10;2009;2;3,2;85;1300051;10438
140894;X-Men:FirstClass;JamesMcAvoy;MichaelFassbender;JenniferLawrence;KevinBacon;MatthewVaughn;;;AshleyEdwardMiller;ZackStentz;JaneGoldman;;0,02846;Action; Science Fiction;;;;;;USA;1;6;2011;2;3,6;131;160000000;937704
140981;SingularidadesDeUmaRaparigaLoira;RicardoTrepa;CatarinaWallenstein;DiogoDoria;CarlosSantos;ManoeldeOliveira;;;ManoeldeOliveira;JoseMariadeEcadeQueiros;;;0,02284;Comedie; Drame;;;;;;Autre;2;9;2009;2;3,7;63;;5781
140986;YonaYonaPenguin;;;;;Rintaro;;;TomokoKonparu;DominiqueLavigne;Rintaro;;0,01731;Animation;;;;;;;Autre;3;2;2010;2;2,7;85;;4309
140987;Pandakopandaamefurisaakasunomaki;;;;;IsaoTakahata;;;HayaoMiyazaki;HayaoMiyazaki;;;0,01731;Animation;;;;;;;Autre;14;10;2009;2;3,6;81;;15866
140988;AlvinandtheChipmunks:TheSqueakuel;JasonLee;DavidCross;ZacharyLevi;BridgitMendler;BettyThomas;;;JonVitti;JonathanAibel;GlennBerger;;0,02846;Animation; Comedie; Famille;;;;;USA;23;12;2009;2;2,5;90;75000000;536385
140989;Irene;;;;;AlainCavalier;;;AlainCavalier;;;;0,0261;Documentaire;;;;;;;France;28;10;2009;2;4,4;85;2160000;68360
140991;TheTwilightSaga:NewMoon;KristenStewart;RobertPattinson;TaylorLautner;AshleyGreeneKhoury;ChrisWeitz;;;MelissaRosenberg;StephenieMeyer;;;0,02585;Aventure; Fantastique; Romance;;;;;USA;18;11;2009;2;2,6;130;50000000;2318559
140992;JonasBrothers-The3DConcert;JoeJonas;NickJonas;KevinJonas;ChristineQuynhNguyen;BruceHendricks;;;;;;;0,02489;Musical;;;;;;;USA;17;6;2009;2;1;76;;1168
141047;LeDerniercontinent;;;;;VincentLapize;;;;;;;0,00301;Documentaire;;;;;;;France;11;11;2015;2;2,7;77;;2169
141085;KabuliKid;HadjiGul;ValerySchatz;AmelieGlenn;ChafiSahel;BarmakAkram;;;BarmakAkram;AgnesDeSacy;IsabelleBroue;;0,00904;Drame;;;;;;;France;29;4;2009;2;3,6;97;55685;3718
141092;Kongbufenzi;CoraMiao;LeeLih-Chyun;Shih-ChiehKing;Shyh-JyeJin;EdwardYang;;;EdwardYang;HsiaoYeh;;;0,01009;Policier; Drame;;;;;;Autre;14;12;2011;2;4,1;109;4989;1549
141110;CaptainMarvel;BrieLarson;SamuelL.Jackson;JudeLaw;ClarkGregg;AnnaBoden;RyanFleck;;AnnaBoden;RyanFleck;GenevaRobertson-Dworet;;0,02489;Action; Fantastique; Science Fiction;;;;;USA;6;3;2019;2;3,2;124;152000000;1254628
141132;Baciamiancora;StefanoAccorsi;VittoriaPuccini;ClaudioSantamaria;GiorgioPasotti;GabrieleMuccino;;;GabrieleMuccino;GabrieleMuccino;;;0,02658;Comedie dramatique; Drame; Romance;;;;;Autre;29;12;2010;2;2,6;140;13099140;21501
141184;Burnt;BradleyCooper;SiennaMiller;DanielBruhl;EmmaThompson;JohnWells;;;StevenKnight;MichaelKalesniko;;;0,02585;Comedie; Drame;;;;;;USA;4;11;2015;2;2,3;102;20000000;217940
